election,tour,region,inscrits,votants,exprimes,liste,nuance,nomNuance,voix,annee,clef,voixPourcent,participationPourcent,blancsNulsPourcent,nom,Couleur,codeCouleur
Régionales,1,02,310723,127716,120629,Serge LETCHIMY,LDVG,Divers gauche,47002,2015,Régionales-2015-T1,38.96,41.1,2.28,Martinique,Rose,#FF5E9A
Régionales,1,02,310723,127716,120629,Yan MONPLAISIR,LLR,Les Républicains,17272,2015,Régionales-2015-T1,14.32,41.1,2.28,Martinique,Bleu,#045BFF
Régionales,2,02,310455,162490,154317,Alfred MARIE-JEANNE,LREG,Régionaliste,83541,2015,Régionales-2015-T2,54.14,52.34,2.63,Martinique,Gris,#E0E0E0
Régionales,2,02,310455,162490,154317,Serge LETCHIMY,LDVG,Divers gauche,70776,2015,Régionales-2015-T2,45.86,52.34,2.63,Martinique,Rose,#FF5E9A
Européennes,1,03,83324,8344,7887,Dominique FRUT,LDIV,Divers,58,2014,Européennes-2014-T1,0.74,10.01,0.55,Guyane,Gris,#E0E0E0
Européennes,1,03,83324,8344,7887,Ghislaine JOACHIM-ARNAUD,LEXG,Extrême gauche,252,2014,Européennes-2014-T1,3.2,10.01,0.55,Guyane,Rouge,#EE4A40
Européennes,1,03,83324,8344,7887,Grace NDAME MPONDO,LDIV,Divers,1,2014,Européennes-2014-T1,0.01,10.01,0.55,Guyane,Gris,#E0E0E0
Européennes,1,03,83324,8344,7887,Guy HADJI,LDIV,Divers,5,2014,Européennes-2014-T1,0.06,10.01,0.55,Guyane,Gris,#E0E0E0
Européennes,1,03,83324,8344,7887,Hugues MAILLOT,LDVD,Divers droite,130,2014,Européennes-2014-T1,1.65,10.01,0.55,Guyane,Bleu,#045BFF
Européennes,1,03,83324,8344,7887,Jean-Jacob BICEP,LDIV,Divers,81,2014,Européennes-2014-T1,1.03,10.01,0.55,Guyane,Gris,#E0E0E0
Européennes,1,03,83324,8344,7887,Jean-Pierre MAPOLIN,LDIV,Divers,18,2014,Européennes-2014-T1,0.23,10.01,0.55,Guyane,Gris,#E0E0E0
Européennes,1,03,83324,8344,7887,Jean Roland ANGO,LDIV,Divers,4,2014,Européennes-2014-T1,0.05,10.01,0.55,Guyane,Gris,#E0E0E0
Européennes,1,03,83324,8344,7887,Kelly CITADELLE-VELIN,LDVD,Divers droite,106,2014,Européennes-2014-T1,1.34,10.01,0.55,Guyane,Bleu,#045BFF
Européennes,1,03,83324,8344,7887,Léonard SAM,LUC,Union du centre,402,2014,Européennes-2014-T1,5.1,10.01,0.55,Guyane,Bleu ciel,#39C3FF
